AGI,symbol,FASTA header
AT5G04885,AT5G04885,Glycosyl hydrolase family protein [Source:TAIR;Acc:AT5G04885]
AT5G04910,AT5G04910,DNA repair REX1-B protein [Source:UniProtKB/TrEMBL;Acc:Q1PE01]
AT5G05010,AT5G05010,Coatomer subunit delta [Source:UniProtKB/TrEMBL;Acc:B9DGK9]
AT5G05020,AT5G05020,At5g05020 [Source:UniProtKB/TrEMBL;Acc:Q9FF72]
AT5G05030,AT5G05030,"NEP-interacting protein, putative (DUF239) [Source:UniProtKB/TrEMBL;Acc:Q9FF71]"
AT5G05040,AT5G05040,Cystatin/monellin superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9FF70]
AT5G05050,AT5G05050,Cysteine proteinases superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9FF69]
AT5G05060,AT5G05060,Cystatin/monellin superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9FF68]
AT5G05090,AT5G05090,At5g05090 [Source:UniProtKB/TrEMBL;Acc:Q9FF65]
AT5G05100,AT5G05100,Single-stranded nucleic acid binding R3H protein [Source:UniProtKB/TrEMBL;Acc:Q93YN3]
AT5G05113,AT5G05113,unknown protein; LOCATED IN: mitochondrion; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT5G05113]
AT5G05120,AT5G05120,C2H2 and C2HC zinc fingers superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9FF62]
AT5G05130,AT5G05130,Putative SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3-like 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FF61]
AT5G05180,AT5G05180,Gb [Source:UniProtKB/TrEMBL;Acc:Q9FHK5]
AT5G05200,AT5G05200,"Uncharacterized aarF domain-containing protein kinase At5g05200, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9ASX5]"
AT5G05210,AT5G05210,AT5g05210/K2A11_8 [Source:UniProtKB/TrEMBL;Acc:Q9FLD3]
AT5G05220,AT5G05220,AT5g05220/K18I23_2 [Source:UniProtKB/TrEMBL;Acc:Q940U2]
AT5G05240,AT5G05240,Uncharacterised conserved protein (UCP030365) [Source:TAIR;Acc:AT5G05240]
AT5G05250,AT5G05250,AT5g05250/K18I23_5 [Source:UniProtKB/TrEMBL;Acc:Q9FLC9]
AT5G05300,AT5G05300,Gb [Source:UniProtKB/TrEMBL;Acc:Q9FLC4]
AT5G05310,AT5G05310,TLC ATP/ADP transporter [Source:TAIR;Acc:AT5G05310]
AT5G05330,AT5G05330,HMG-box (High mobility group) DNA-binding family protein [Source:UniProtKB/TrEMBL;Acc:Q58FU4]
AT5G05350,AT5G05350,PLAC8 family protein [Source:UniProtKB/TrEMBL;Acc:Q5XV52]
AT5G05360,AT5G05360,unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G38450.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429 /.../zoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). [Source:TAIR;Acc:AT5G05360]
AT5G05365,AT5G05365,Heavy metal transport/detoxification superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q56ZM7]
AT5G05370,AT5G05370,At5g05370 [Source:UniProtKB/TrEMBL;Acc:Q9FLB7]
AT5G05400,AT5G05400,Putative disease resistance protein At5g05400 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLB4]
AT5G05430,AT5G05430,RNA-binding protein [Source:TAIR;Acc:AT5G05430]
AT5G05435,AT5G05435,other RNA [Source:TAIR;Acc:AT5G05435]
AT5G05480,AT5G05480,AT5g05480/MOP10_2 [Source:UniProtKB/TrEMBL;Acc:Q9FFG6]
AT5G05510,AT5G05510,At5g05510 [Source:UniProtKB/TrEMBL;Acc:Q9FFG4]
AT5G05520,AT5G05520,Outer membrane OMP85 family protein [Source:UniProtKB/TrEMBL;Acc:Q9FFG3]
AT5G05530,AT5G05530,RING/U-box superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9FFG2]
AT5G05550,AT5G05550,Sequence-specific DNA binding transcription factor [Source:UniProtKB/TrEMBL;Acc:F4K0Q7]
AT5G05570,AT5G05570,Transducin family protein / WD-40 repeat family protein [Source:UniProtKB/TrEMBL;Acc:Q9FFF8]
AT5G05598,AT5G05598,Encodes a Defensin-like (DEFL) family protein [Source:TAIR;Acc:AT5G05598]
AT5G05600,AT5G05600,Probable 2-oxoglutarate-dependent dioxygenase At5g05600 [Source:UniProtKB/Swiss-Prot;Acc:Q9FFF6]
AT5G05640,AT5G05640,At5g05640 [Source:UniProtKB/TrEMBL;Acc:Q9FFL0]
AT5G05650,AT5G05650,Fasciclin-like arabinogalactan protein 17 [Source:UniProtKB/TrEMBL;Acc:Q9FFK9]
AT5G05657,AT5G05657,BEST Arabidopsis thaliana protein match is: Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family (TAIR:AT5G06330.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3 /.../lants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT5G05657]
AT5G05670,AT5G05670,AT5G05670 protein [Source:UniProtKB/TrEMBL;Acc:Q9FFK7]
AT5G05710,AT5G05710,At5g05710 [Source:UniProtKB/TrEMBL;Acc:Q9FFK5]
AT5G05720,AT5G05720,RNA-binding (RRM/RBD/RNP motifs) family protein [Source:UniProtKB/TrEMBL;Acc:F4K0T3]
AT5G05750,AT5G05750,DNAJ heat shock N-terminal domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q9FFK2]
AT5G05790,AT5G05790,At5g05790 [Source:UniProtKB/TrEMBL;Acc:Q9FFJ9]
AT5G05795,AT5G05795,pre-tRNA [Source:TAIR;Acc:AT5G05795]
AT5G05820,AT5G05820,Probable sugar phosphate/phosphate translocator At5g05820 [Source:UniProtKB/Swiss-Prot;Acc:Q6DBP3]
AT5G05830,AT5G05830,At5g05830 [Source:UniProtKB/TrEMBL;Acc:Q9FFJ5]
AT5G05840,AT5G05840,Emb [Source:UniProtKB/TrEMBL;Acc:Q9FFJ4]
AT5G05910,AT5G05910,RING/U-box superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9FI95]
AT5G05945,AT5G05945,pre-tRNA [Source:TAIR;Acc:AT5G05945]
AT5G05960,AT5G05960,At5g05960 [Source:UniProtKB/TrEMBL;Acc:Q8LBY9]
AT5G05965,AT5G05965,Cell wall RBR3-like protein [Source:UniProtKB/TrEMBL;Acc:Q5XV49]
AT5G05985,AT5G05985,pre-tRNA [Source:TAIR;Acc:AT5G05985]
AT5G05990,AT5G05990,AT5g05990/K18J17_19 [Source:UniProtKB/TrEMBL;Acc:Q9FI87]
AT5G06010,AT5G06010,Gb [Source:UniProtKB/TrEMBL;Acc:Q9FI85]
AT5G06040,AT5G06040,Self-incompatibility protein-like protein [Source:UniProtKB/TrEMBL;Acc:Q9FI82]
AT5G06043,AT5G06043,Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q2V397]
AT5G06050,AT5G06050,Probable methyltransferase PMT12 [Source:UniProtKB/Swiss-Prot;Acc:Q9FG39]
AT5G06060,AT5G06060,Tropinone reductase homolog At5g06060 [Source:UniProtKB/Swiss-Prot;Acc:Q9LHT0]
AT5G06110,AT5G06110,Cell division related protein-like [Source:UniProtKB/TrEMBL;Acc:Q9LHS5]
AT5G06120,AT5G06120,ARM repeat superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4K2C1]
AT5G06125,AT5G06125,pre-tRNA [Source:TAIR;Acc:AT5G06125]
AT5G06165,AT5G06165,None
AT5G06180,AT5G06180,AT5G06180 protein [Source:UniProtKB/TrEMBL;Acc:Q8LGK6]
AT5G06190,AT5G06190,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G58540.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eu /.../es - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT5G06190]
AT5G06220,AT5G06220,LETM1-like protein [Source:UniProtKB/TrEMBL;Acc:F4K2D7]
AT5G06260,AT5G06260,Similarity to unknown protein [Source:UniProtKB/TrEMBL;Acc:Q9FNI2]
AT5G06265,AT5G06265,hyaluronan mediated motility receptor-related [Source:TAIR;Acc:AT5G06265]
AT5G06270,AT5G06270,Gb [Source:UniProtKB/TrEMBL;Acc:Q9FNI1]
AT5G06280,AT5G06280,Uncharacterized protein MHF15.4 [Source:UniProtKB/TrEMBL;Acc:Q9FNI0]
AT5G06330,AT5G06330,At5g06330 [Source:UniProtKB/TrEMBL;Acc:Q9FNH5]
AT5G06350,AT5G06350,ARM repeat superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4K3T5]
AT5G06360,AT5G06360,Ribosomal protein S8e family protein [Source:UniProtKB/TrEMBL;Acc:Q9FNH2]
AT5G06370,AT5G06370,AT5g06370/MHF15_11 [Source:UniProtKB/TrEMBL;Acc:Q93V51]
AT5G06380,AT5G06380,Gb [Source:UniProtKB/TrEMBL;Acc:Q9FNH0]
AT5G06400,AT5G06400,"Putative pentatricopeptide repeat-containing protein At5g06400, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9FNG8]"
AT5G06410,AT5G06410,DNAJ heat shock N-terminal domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q8L7K4]
AT5G06420,AT5G06420,Zinc finger CCCH domain-containing protein 51 [Source:UniProtKB/Swiss-Prot;Acc:Q9FNG6]
AT5G06430,AT5G06430,At5g06430 [Source:UniProtKB/TrEMBL;Acc:Q9FNG5]
AT5G06440,AT5G06440,BEST Arabidopsis thaliana protein match is: Polyketide cyclase/dehydrase and lipid transport superfamily protein (TAIR:AT3G11720.3); Has 155 Blast hits to 153 proteins in 39 species: Archae - 0; Bacteria - 4; Metazoa - 5; Fungi - 6; Plants - 101; Vi /.../- 0; Other Eukaryotes - 39 (source: NCBI BLink). [Source:TAIR;Acc:AT5G06440]
AT5G06450,AT5G06450,Uncharacterized protein At5g06450 [Source:UniProtKB/Swiss-Prot;Acc:Q9FNG3]
AT5G06470,AT5G06470,Emb [Source:UniProtKB/TrEMBL;Acc:Q9FNG2]
AT5G06480,AT5G06480,At5g06480 [Source:UniProtKB/TrEMBL;Acc:Q9FG22]
AT5G06520,AT5G06520,Gb [Source:UniProtKB/TrEMBL;Acc:Q9FG18]
AT5G06550,AT5G06550,F-box protein At5g06550 [Source:UniProtKB/Swiss-Prot;Acc:Q67XX3]
AT5G06570,AT5G06570,alpha/beta-Hydrolases superfamily protein [Source:TAIR;Acc:AT5G06570]
AT5G06590,AT5G06590,Uncharacterized protein At5g06590 [Source:UniProtKB/TrEMBL;Acc:Q8GYE1]
AT5G06610,AT5G06610,Gb [Source:UniProtKB/TrEMBL;Acc:Q9FG09]
AT5G06630,AT5G06630,Proline-rich extensin-like family protein [Source:UniProtKB/TrEMBL;Acc:F4K3X4]
AT5G06660,AT5G06660,Calcium load-activated calcium channel [Source:UniProtKB/TrEMBL;Acc:Q9FG04]
AT5G06670,AT5G06670,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:TAIR;Acc:AT5G06670]
AT5G06685,AT5G06685,pre-tRNA [Source:TAIR;Acc:AT5G06685]
AT5G06740,AT5G06740,Concanavalin A-like lectin protein kinase family protein [Source:TAIR;Acc:AT5G06740]
AT5G06750,AT5G06750,Probable protein phosphatase 2C 68 [Source:UniProtKB/Swiss-Prot;Acc:Q84JD5]
AT5G06755,AT5G06755,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; Has 0 Blast hits to 0 proteins in 0 species (source: NCBI BLink). [Source:TAIR;Acc:AT5G06755]
AT5G06770,AT5G06770,Zinc finger CCCH domain-containing protein 52 [Source:UniProtKB/Swiss-Prot;Acc:Q9FG30]
AT5G06790,AT5G06790,At5g06790 [Source:UniProtKB/TrEMBL;Acc:Q9FG28]
AT5G06800,AT5G06800,myb-like HTH transcriptional regulator family protein [Source:TAIR;Acc:AT5G06800]
AT5G06810,AT5G06810,Mitochondrial transcription termination factor family protein [Source:TAIR;Acc:AT5G06810]
AT5G06830,AT5G06830,CDK5RAP3-like protein [Source:UniProtKB/Swiss-Prot;Acc:Q9FG23]
AT5G06865,AT5G06865,other RNA [Source:TAIR;Acc:AT5G06865]
AT5G06890,AT5G06890,Gb [Source:UniProtKB/TrEMBL;Acc:Q9FL57]
AT5G06930,AT5G06930,Nucleolar-like protein [Source:UniProtKB/TrEMBL;Acc:Q0WQA5]
AT5G06940,AT5G06940,Probably inactive leucine-rich repeat receptor-like protein kinase At5g06940 [Source:UniProtKB/Swiss-Prot;Acc:Q9FL51]
AT5G06980,AT5G06980,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G12320.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eu /.../es - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT5G06980]
AT5G06990,AT5G06990,Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9FL47]
AT5G07030,AT5G07030,Eukaryotic aspartyl protease family protein [Source:UniProtKB/TrEMBL;Acc:F4K5B9]
AT5G07080,AT5G07080,HXXXD-type acyl-transferase family protein [Source:UniProtKB/TrEMBL;Acc:Q9LYQ7]
AT5G07135,AT5G07135,pre-tRNA [Source:TAIR;Acc:AT5G07135]
AT5G07140,AT5G07140,Protein kinase superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4K6K4]
AT5G07150,AT5G07150,Leucine-rich repeat protein kinase family protein [Source:TAIR;Acc:AT5G07150]
AT5G07152,AT5G07152,"Potential natural antisense gene, locus overlaps with AT5G07150 [Source:TAIR;Acc:AT5G07152]"
AT5G07160,AT5G07160,Activator of spomin LUC3 [Source:UniProtKB/TrEMBL;Acc:Q56FQ1]
AT5G07170,AT5G07170,Cell cycle regulated microtubule associated protein [Source:TAIR;Acc:AT5G07170]
AT5G07225,AT5G07225,RING/U-box superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4K6L4]
AT5G07260,AT5G07260,START (StAR-related lipid-transfer) lipid-binding domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q84JD1]
AT5G07315,AT5G07315,pre-tRNA [Source:TAIR;Acc:AT5G07315]
AT5G07322,AT5G07322,other RNA [Source:TAIR;Acc:AT5G07322]
AT5G07330,AT5G07330,At5g07330 [Source:UniProtKB/TrEMBL;Acc:Q9LY27]
AT5G07340,AT5G07340,Calreticulin family protein [Source:UniProtKB/TrEMBL;Acc:F4K6M8]
AT5G07360,AT5G07360,Amidase family protein [Source:UniProtKB/TrEMBL;Acc:F4K6N3]
AT5G07380,AT5G07380,Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q1PDZ3]
AT5G07400,AT5G07400,At5g07400 [Source:UniProtKB/TrEMBL;Acc:Q84MA4]
AT5G07475,AT5G07475,At5g07475 [Source:UniProtKB/TrEMBL;Acc:Q7XA70]
AT5G07490,AT5G07490,Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q1PDZ2]
AT5G07570,AT5G07570,Glycine/proline-rich protein [Source:UniProtKB/TrEMBL;Acc:Q9LY06]
AT5G07571,AT5G07571,Oleosin family protein [Source:UniProtKB/TrEMBL;Acc:F4K829]
AT5G07572,AT5G07572,Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q1G379]
AT5G07590,AT5G07590,At5g07590 [Source:UniProtKB/TrEMBL;Acc:Q5PP39]
AT5G07600,AT5G07600,Oleosin family protein [Source:UniProtKB/TrEMBL;Acc:Q9FLS1]
AT5G07610,AT5G07610,F-box protein At5g07610 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLS0]
AT5G07620,AT5G07620,Protein kinase superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9FLR9]
AT5G07625,AT5G07625,pre-tRNA [Source:TAIR;Acc:AT5G07625]
AT5G07630,AT5G07630,Lipid transporter [Source:UniProtKB/TrEMBL;Acc:F4K836]
AT5G07640,AT5G07640,RBR-type E3 ubiquitin transferase [Source:UniProtKB/TrEMBL;Acc:Q9FLR7]
AT5G07650,AT5G07650,Actin-binding FH2 protein [Source:TAIR;Acc:AT5G07650]
AT5G07670,AT5G07670,AT5G07670 protein [Source:UniProtKB/TrEMBL;Acc:B9DG93]
AT5G07675,AT5G07675,pre-tRNA [Source:TAIR;Acc:AT5G07675]
AT5G07730,AT5G07730,Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q93XY2]
AT5G07740,AT5G07740,actin binding [Source:TAIR;Acc:AT5G07740]
AT5G07760,AT5G07760,formin homology 2 domain-containing protein / FH2 domain-containing protein [Source:TAIR;Acc:AT5G07760]
AT5G07770,AT5G07770,Actin-binding FH2 protein [Source:TAIR;Acc:AT5G07770]
AT5G07790,AT5G07790,Gb [Source:UniProtKB/TrEMBL;Acc:Q9FF13]
AT5G07800,AT5G07800,Flavin-containing monooxygenase [Source:UniProtKB/TrEMBL;Acc:A0A178UJX2]
AT5G07810,AT5G07810,SNF2 domain-containing protein / helicase domain-containing protein / HNH endonuclease domain-containing protein [Source:TAIR;Acc:AT5G07810]
AT5G07820,AT5G07820,Plant calmodulin-binding protein-like protein [Source:UniProtKB/TrEMBL;Acc:Q9SDA2]
AT5G07850,AT5G07850,Anthranilate N-hydroxycinnamoyl/benzoyltransferase-like protein [Source:UniProtKB/TrEMBL;Acc:Q9SD99]
AT5G07860,AT5G07860,HXXXD-type acyl-transferase family protein [Source:UniProtKB/TrEMBL;Acc:Q9SD98]
AT5G07870,AT5G07870,HXXXD-type acyl-transferase family protein [Source:UniProtKB/TrEMBL;Acc:Q9SD97]
AT5G07890,AT5G07890,AT5G07890 protein [Source:UniProtKB/TrEMBL;Acc:B9DG86]
AT5G07900,AT5G07900,Mitochondrial transcription termination factor family protein [Source:UniProtKB/TrEMBL;Acc:Q9SD94]
AT5G07910,AT5G07910,Leucine-rich repeat (LRR) family protein [Source:UniProtKB/TrEMBL;Acc:Q8RWI2]
AT5G07940,AT5G07940,Dentin sialophosphoprotein-like protein [Source:UniProtKB/TrEMBL;Acc:Q9FF08]
AT5G07950,AT5G07950,Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q8LA67]
AT5G07960,AT5G07960,Uncharacterized protein At5g07960 [Source:UniProtKB/TrEMBL;Acc:Q0WU11]
AT5G07970,AT5G07970,Dentin sialophosphoprotein-like protein [Source:UniProtKB/TrEMBL;Acc:Q9SD87]
AT5G07980,AT5G07980,Dentin sialophosphoprotein-like protein [Source:UniProtKB/TrEMBL;Acc:Q9SD86]
AT5G08010,AT5G08010,Uncharacterized protein F13G24.210 [Source:UniProtKB/TrEMBL;Acc:Q9SD83]
AT5G08050,AT5G08050,"Wiskott-aldrich syndrome family protein, putative (DUF1118) [Source:UniProtKB/TrEMBL;Acc:Q9SD79]"
AT5G08055,AT5G08055,Putative defensin-like protein 25 [Source:UniProtKB/Swiss-Prot;Acc:Q2V392]
AT5G08060,AT5G08060,Furry [Source:UniProtKB/TrEMBL;Acc:Q9SD78]
AT5G08075,AT5G08075,pre-tRNA [Source:TAIR;Acc:AT5G08075]
AT5G08090,AT5G08090,Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q9LEZ7]
AT5G08110,AT5G08110,nucleic acid binding;ATP-dependent helicases;ATP binding;helicases;ATP-dependent helicases [Source:TAIR;Acc:AT5G08110]
AT5G08139,AT5G08139,RING/U-box superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q8GYG0]
AT5G08180,AT5G08180,H/ACA ribonucleoprotein complex subunit 2-like protein [Source:UniProtKB/Swiss-Prot;Acc:Q9LEY9]
AT5G08200,AT5G08200,At5g08200 [Source:UniProtKB/TrEMBL;Acc:Q8L708]
AT5G08240,AT5G08240,At5g08240 [Source:UniProtKB/TrEMBL;Acc:Q9LEY3]
AT5G08250,AT5G08250,Cytochrome P450 superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9LEY2]
AT5G08270,AT5G08270,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G23200.1); Has 89 Blast hits to 86 proteins in 45 species: Archae - 0; Bacteria - 0; Metazoa - 27; Fungi - 0; Plants - 48; Viruses - 0; Other Eukaryotes - 14 (sour /.../BI BLink). [Source:TAIR;Acc:AT5G08270]
AT5G08300,AT5G08300,"Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A178U834]"
AT5G08310,AT5G08310,"Putative pentatricopeptide repeat-containing protein At5g08310, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P0C8Q6]"
AT5G08315,AT5G08315,Defensin-like protein 22 [Source:UniProtKB/Swiss-Prot;Acc:Q2V391]
AT5G08320,AT5G08320,At5g08320 [Source:UniProtKB/TrEMBL;Acc:Q9FTA3]
AT5G08350,AT5G08350,GEM-like protein 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9FTA0]
AT5G08360,AT5G08360,At5g08360 [Source:UniProtKB/TrEMBL;Acc:Q84MC6]
AT5G08390,AT5G08390,Katanin p80 WD40 repeat-containing subunit B1 homolog [Source:UniProtKB/TrEMBL;Acc:F4KB17]
AT5G08391,AT5G08391,"Transmembrane protein, putative (DUF 3339) [Source:UniProtKB/TrEMBL;Acc:Q8LBX6]"
AT5G08400,AT5G08400,At5g08400/F8L15_130 [Source:UniProtKB/TrEMBL;Acc:Q8VZD1]
AT5G08420,AT5G08420,KRR1 small subunit processome component [Source:UniProtKB/TrEMBL;Acc:A0A178UIZ9]
AT5G08430,AT5G08430,Uncharacterized protein At5g08430 [Source:UniProtKB/Swiss-Prot;Acc:Q9FT92]
AT5G08440,AT5G08440,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unkno /.../tein (TAIR:AT5G23490.1); Has 141 Blast hits to 139 proteins in 35 species: Archae - 0; Bacteria - 9; Metazoa - 21; Fungi - 6; Plants - 94; Viruses - 0; Other Eukaryotes - 11 (source: NCBI BLink). [Source:TAIR;Acc:AT5G08440]
AT5G08450,AT5G08450,Zinc finger CCCH domain protein [Source:UniProtKB/TrEMBL;Acc:Q8RWV9]
AT5G08460,AT5G08460,GDSL esterase/lipase At5g08460 [Source:UniProtKB/Swiss-Prot;Acc:Q9FNP2]
AT5G08500,AT5G08500,Cleft lip and palate associated transmembrane protein-like [Source:UniProtKB/TrEMBL;Acc:Q9FNN8]
AT5G08505,AT5G08505,Defensin-like protein 109 [Source:UniProtKB/Swiss-Prot;Acc:Q2V390]
AT5G08535,AT5G08535,D111/G-patch domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q8GXG0]
AT5G08540,AT5G08540,Ribosomal RNA small subunit methyltransferase J [Source:UniProtKB/TrEMBL;Acc:Q93VT6]
AT5G08565,AT5G08565,Transcription elongation factor SPT4 homolog [Source:UniProtKB/TrEMBL;Acc:A0A178UPE0]
AT5G08570,AT5G08570,Pyruvate kinase [Source:UniProtKB/TrEMBL;Acc:A0A178UBM6]
AT5G08580,AT5G08580,Calcium-binding EF hand family protein [Source:UniProtKB/TrEMBL;Acc:Q9FNN0]
AT5G08600,AT5G08600,U3 ribonucleoprotein (Utp) family protein [Source:UniProtKB/TrEMBL;Acc:F4KB50]
AT5G08630,AT5G08630,DDT domain-containing protein [Source:UniProtKB/TrEMBL;Acc:F4KB54]
AT5G08650,AT5G08650,"Translation factor GUF1 homolog, chloroplastic [Source:UniProtKB/TrEMBL;Acc:A0A178USI8]"
AT5G08660,AT5G08660,D-lactate dehydrogenase (DUF668) [Source:UniProtKB/TrEMBL;Acc:Q9C5B1]
AT5G08670,AT5G08670,ATP synthase alpha/beta family protein [Source:TAIR;Acc:AT5G08670]
AT5G08680,AT5G08680,"ATP synthase subunit beta-3, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9C5A9]"
AT5G08690,AT5G08690,"ATP synthase subunit beta-2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P83484]"
AT5G08695,AT5G08695,RNA-binding (RRM/RBD/RNP motifs) family protein [Source:UniProtKB/TrEMBL;Acc:F4KCG5]
AT5G08720,AT5G08720,At5g08720 [Source:UniProtKB/TrEMBL;Acc:Q9C5A5]
AT5G08750,AT5G08750,RING/FYVE/PHD zinc finger superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4KCH0]
AT5G08760,AT5G08760,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Has 3 Blast hits to 3 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 3; Viruses - /.../her Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT5G08760]
AT5G08770,AT5G08770,unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT5G08770]
AT5G08780,AT5G08780,At5g08780 [Source:UniProtKB/TrEMBL;Acc:Q6AWW7]
AT5G09210,AT5G09210,GC-rich sequence DNA-binding factor-like protein [Source:TAIR;Acc:AT5G09210]
AT5G09225,AT5G09225,Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q8GYQ7]
AT5G09240,AT5G09240,SsDNA-binding transcriptional regulator [Source:UniProtKB/TrEMBL;Acc:F4KCI8]
AT5G09270,AT5G09270,Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q9FY88]
AT5G09280,AT5G09280,Pectate lyase [Source:UniProtKB/TrEMBL;Acc:Q9FY87]
AT5G09300,AT5G09300,"2-oxoisovalerate dehydrogenase subunit alpha 2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q84JL2]"
AT5G09310,AT5G09310,Probable gamma-secretase subunit PEN-2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FY84]
AT5G09340,AT5G09340,Ubiquitin family protein [Source:UniProtKB/TrEMBL;Acc:Q9FY81]
AT5G09345,AT5G09345,pre-tRNA [Source:TAIR;Acc:AT5G09345]
AT5G09370,AT5G09370,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9FY78]
AT5G09380,AT5G09380,RNA polymerase III RPC4 [Source:UniProtKB/TrEMBL;Acc:Q9FY77]
AT5G09390,AT5G09390,AT5g09390/T5E8_190 [Source:UniProtKB/TrEMBL;Acc:Q8L4S3]
AT5G09430,AT5G09430,Alpha/beta-Hydrolases superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q4PSG2]
AT5G09443,AT5G09443,other RNA [Source:TAIR;Acc:AT5G09443]
AT5G09445,AT5G09445,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; Has 0 Blast hits to 0 proteins in 0 species (source: NCBI BLink). [Source:TAIR;Acc:AT5G09445]
